person_id,tbrc_id,default_name,tradition_id
13162,P3AG54,"Garwang Lerab Lingpa",1
13163,P3AG53,"Tenpai Nyima",1
13169,P3AG60,"Sonam Tseten",1
13170,p3ag61,"Tashi Wozer",1
13178,P10MS14637,"Tubten Lungrik Gyatso",1
13181,P8LS12401,"Tubten Tsultrim Gyatso",1
13189,P8LS12707,"Kelzang Pema Wanggyel",1
13190,P8LS12706,"Ngawang Jampel Mingyur Lhundrub Dorje",1
13191,P8LS12705,"Kunzang Gyurme Lhundrub",1
13196,P10MS14674,"Sonam Peldren",1
13197,P10MS14675,"Chowang Dorje Dzinpa",1
13204,P8LS12196,"Demchok Dorje",1
13205,P2CZ7891,"Chokyi Dronma",1
13206,P8LS12641,"Kunga Zangmo",1
13227,P11MS246,"Gyurme Pema Tekchok",1
13228,P11MS244,"Gyurme Tekchok Tenpa Namgyel",1
13431,P1AG4,"Choje Gangpa Rinchen Wozer",1
13438,P1AG10,"Lama Tsentrangwa",1
13452,P1AG26,"Nyida Sanggye",1
13453,P1AG27,"Getse Pema",1
13454,P1AG28,"Gyurme Tenpel Chozang",1
13455,P1AG29,"Gyurme Tubten Nyinje",1
13509,P3CN364,Trimalo,1
13516,P1AG71,"Botar Lodro Tobden",1
13532,P1AG85,"Puntsok Tenpa",1
13534,P8LS4334,"Tsepo Tsawarong",1
13535,P8LS4335,"Nangso Damepa",1
13536,P2LS262,"Jampa Rabten",1
13537,P8LS4337,"Lhagyari Drale Namgyel",1
13538,P8LS4338,"Lhagyari Jikten Wangchuk",1
13539,P8LS4340,"Lhagyari Yulkhor Wangchuk",1
13541,P8LS4341,"Lhagyari Sonam Rabten",1
13542,P8LS4342,"Lhagyari Ganden Pelbar",1
13543,P8LS4343,"Lhagyari Lobzang Tutob Chogyel",1
13558,P8LS4344,"Lhagyari Tsering Pelbar",1
13559,P8LS4345,"Lhagyari Zilnon Wangchuk",1
13560,P8LS4346,"Lhagyari Tri Songwanggyel",1
13561,P8LS4350,"Lhagyari Namgyel Wangchuk",1
