historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
15337,10961,"Hortsun Tenzin Lodro Gyatso",1889,1975,0,0,77,"20th Century"
15346,7877,"Jamyang Tenpai Gyeltsen",1939,1944,0,0,77,"20th Century"
15353,8128,"Jigme Tenpai Wangchuk",1926,2000,0,0,77,"20th Century"
15355,7882,"Jigme Tsultrim Namgyel",1918,1957,0,0,77,"20th Century"
15359,2469,"Lobzang Chopel Gyatso",1898,1929,0,0,77,"20th Century"
15362,13550,"Lobzang Tenzin Trinle Gyatso",NULL,NULL,0,0,77,"20th Century"
15368,2393,"Lobzang Tsultrim Jigme Gyatso",1856,1920,0,1,77,"20th Century"
15371,3786,"Lobzang Tubten Mipam Tsultrim Gyeltsen",1901,1939,0,0,77,"20th Century"
15401,3795,"Ngawang Trinle Tenzin Khyenrab",1925,NULL,0,0,77,"20th Century"
15419,6333,"Tsewang Sonam Tobgyel",NULL,1902,0,1,77,"20th Century"
15422,10414,"Tubten Wosel Tenpai Nyima",1914,1964,0,0,77,"20th Century"
15449,13738,"Konchok Stanzin Damchos Gyurmed",NULL,1937,0,1,77,"20th Century"
15466,13583,"Tsarong Dundul Namgyal",1920,2011,0,0,77,"20th Century"
15470,9343,"Dokhar Tsewang Norbu",NULL,1902,0,0,77,"20th Century"
15487,13744,"Lama Chimpa Gyatso",1922,2011,0,0,77,"20th Century"
15509,13747,"Chime Dorje",1884,1948,0,0,77,"20th Century"
15515,13749,"Tersey Tulku",1889,1956,0,0,77,"20th Century"
15543,13679,"Ga Lama Gendun Zangpo",1880,1939,0,0,77,"20th Century"
15546,11231,"Chogyam Trungpa",1939,1987,0,0,77,"20th Century"
15550,13719,"Gyari Chime Drolma",1905,1939,0,0,77,"20th Century"
15572,13750,"Tashi Chime",NULL,NULL,0,0,77,"20th Century"
15578,12100,"Tsultrim Wangmo",NULL,NULL,0,0,77,"20th Century"
15605,13748,"Lama Sangngak",1885,1949,0,1,77,"20th Century"
15606,13737,"Ngawang Jungne",NULL,NULL,0,0,77,"20th Century"
15610,13724,"Sonam Dekyi",1931,NULL,0,0,77,"20th Century"
15614,7297,"Damcho Tsomo",1850,1923,1,0,77,"20th Century"
15617,13683,"Jampa Gyeltsen Lhalungpa",1921,1993,0,0,77,"20th Century"
15636,3822,"Tubten Chokyi Nyima",1883,1937,0,0,77,"20th Century"
15653,13787,"Sonam Sengge Wangchuk",1873,1928,0,0,77,"20th Century"
15662,13803,"Nun of the Cemeteries",NULL,NULL,0,0,77,"20th Century"
