TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
23,,274,"<p>
2009. <em>krung go&#39;i bod brgyud dgon pa&#39;i dkar chag las kan su&#39;u glegs bam</em>. 1 vols. lan kru&#39;u/: kan su&#39;u mi rigs dpe skrun khang, p. 442-443.&nbsp;",442-443,MW1PD105777,,,,,
23,,1228,"<p>
2009. <em>krung go&#39;i bod brgyud dgon pa&#39;i dkar chag las kan su&#39;u glegs bam</em>. lan kru&#39;u: kan su&#39;u mi rigs dpe skrun khang, p. 718.</p>",718,MW1PD105777,,,,,
23,,983,"<p>
2009. <em>krung go&#39;i bod brgyud dgon pa&#39;i dkar chag las kan su&#39;u glegs bam</em>.&nbsp;lan kru&#39;u:&nbsp;kan su&#39;u mi rigs dpe skrun khang, p. 756.</p>",756,MW1PD105777,,,,,
23,,1274,"<p>
<em>krung go&#39;i bod brgyud dgon pa&#39;i dkar chag las kan su&#39;u glegs bam</em>. 2009. 1 vols. lan kru&#39;u/: kan su&#39;u mi rigs dpe skrun khang, pp. 753-754.</p>",753-754,MW1PD105777,,,,,
24,,339,"<p>
bsod gnam rgya mtsho, nor bu sgrol dkar.<em> bstan rtsis ka phreng lag deb</em>. 2000.&nbsp;1 vols. pe cin: mi rigs dpe skrun khang, p. 88.&nbsp;</p>",88,MW20115,,,,,
24,,136,"<p>
Nor bu sgrol dkar, and bsod gnam rgya mtsho. 2000. <em>Bstan rtsis ka phreng lag deb</em>. Pe cin: Mi rigs dpe skrun khang, p. 601.</p>",,MW20115,,,,,
25,,488,"<p>
Don grub dbang rgyal. 1992. <em>Mgo log lo rgyus deb ther</em>. Zi ling: mTsho sngon mi rigs dpe skrun khang, p. 148.</p>",148,MW20140,,,,,
25,,696,"<p>
Don grub dbang rgyal. 1992. <em>Mgo log lo rgyus deb ther</em>. Zi ling: mtsho sngon mi rigs dpe skrun khang, p. 154.</p>",154,MW20140,,,,,
25,,1244,"<p>
Don grub dbang rgyal. 1992. <em>Mgo log lo rgyus deb ther</em>. Zi ling: mtsho sngon mi rigs dpe skrun khang, p. 155.&nbsp;</p>",155,MW20140,,,,,
25,,489,"<p>
Don grub dbang rgyal. 1992. <em>Mgo log lo rgyus deb ther</em>. Zi ling: mtsho sngon mi rigs dpe skrun khang, p. 193.</p>",193,MW20140,,,,,
